Año,Municipio,categoria_delito,Total_Anual
2022,Ixtlahuacán del Río,EXTORSION,1
2023,Ixtlahuacán del Río,EXTORSION,1
2024,Ixtlahuacán del Río,EXTORSION,0
2025,Ixtlahuacán del Río,EXTORSION,1
2015,Jalostotitlán,EXTORSION,3
2016,Jalostotitlán,EXTORSION,2
2017,Jalostotitlán,EXTORSION,3
2018,Jalostotitlán,EXTORSION,3
2019,Jalostotitlán,EXTORSION,4
2020,Jalostotitlán,EXTORSION,9
2021,Jalostotitlán,EXTORSION,1
2022,Jalostotitlán,EXTORSION,3
2023,Jalostotitlán,EXTORSION,6
2024,Jalostotitlán,EXTORSION,1
2025,Jalostotitlán,EXTORSION,0
2015,Jamay,EXTORSION,1
2016,Jamay,EXTORSION,1
2017,Jamay,EXTORSION,0
2018,Jamay,EXTORSION,1
2019,Jamay,EXTORSION,5
2020,Jamay,EXTORSION,2
2021,Jamay,EXTORSION,1
2022,Jamay,EXTORSION,4
2023,Jamay,EXTORSION,1
2024,Jamay,EXTORSION,4
2025,Jamay,EXTORSION,0
2015,Jesús María,EXTORSION,2
2016,Jesús María,EXTORSION,2
2017,Jesús María,EXTORSION,1
2018,Jesús María,EXTORSION,1
2019,Jesús María,EXTORSION,0
2020,Jesús María,EXTORSION,2
2021,Jesús María,EXTORSION,0
2022,Jesús María,EXTORSION,1
2023,Jesús María,EXTORSION,1
2024,Jesús María,EXTORSION,2
2025,Jesús María,EXTORSION,1
2015,Jilotlán de los Dolores,EXTORSION,1
2016,Jilotlán de los Dolores,EXTORSION,0
2017,Jilotlán de los Dolores,EXTORSION,0
2018,Jilotlán de los Dolores,EXTORSION,0
2019,Jilotlán de los Dolores,EXTORSION,0
2020,Jilotlán de los Dolores,EXTORSION,0
2021,Jilotlán de los Dolores,EXTORSION,0
2022,Jilotlán de los Dolores,EXTORSION,0
2023,Jilotlán de los Dolores,EXTORSION,0
2024,Jilotlán de los Dolores,EXTORSION,0
2025,Jilotlán de los Dolores,EXTORSION,0
2015,Jocotepec,EXTORSION,0
2016,Jocotepec,EXTORSION,8
2017,Jocotepec,EXTORSION,5
2018,Jocotepec,EXTORSION,3
2019,Jocotepec,EXTORSION,10
2020,Jocotepec,EXTORSION,2
2021,Jocotepec,EXTORSION,5
2022,Jocotepec,EXTORSION,3
2023,Jocotepec,EXTORSION,2
2024,Jocotepec,EXTORSION,6
2025,Jocotepec,EXTORSION,4
2015,Juanacatlán,EXTORSION,1
2016,Juanacatlán,EXTORSION,4
2017,Juanacatlán,EXTORSION,0
2018,Juanacatlán,EXTORSION,1
2019,Juanacatlán,EXTORSION,2
2020,Juanacatlán,EXTORSION,3
2021,Juanacatlán,EXTORSION,1
2022,Juanacatlán,EXTORSION,0
2023,Juanacatlán,EXTORSION,1
2024,Juanacatlán,EXTORSION,3
2025,Juanacatlán,EXTORSION,1
2015,Juchitlán,EXTORSION,0
2016,Juchitlán,EXTORSION,0
2017,Juchitlán,EXTORSION,0
2018,Juchitlán,EXTORSION,0
2019,Juchitlán,EXTORSION,0
2020,Juchitlán,EXTORSION,0
2021,Juchitlán,EXTORSION,0
2022,Juchitlán,EXTORSION,0
2023,Juchitlán,EXTORSION,0
2024,Juchitlán,EXTORSION,0
2025,Juchitlán,EXTORSION,0
2015,La Barca,EXTORSION,9
2016,La Barca,EXTORSION,3
2017,La Barca,EXTORSION,2
2018,La Barca,EXTORSION,6
2019,La Barca,EXTORSION,18
2020,La Barca,EXTORSION,0
2021,La Barca,EXTORSION,0
2022,La Barca,EXTORSION,3
2023,La Barca,EXTORSION,0
2024,La Barca,EXTORSION,2
2025,La Barca,EXTORSION,1
2015,La Huerta,EXTORSION,2
2016,La Huerta,EXTORSION,3
2017,La Huerta,EXTORSION,3
2018,La Huerta,EXTORSION,7
2019,La Huerta,EXTORSION,0
2020,La Huerta,EXTORSION,4
2021,La Huerta,EXTORSION,1
2022,La Huerta,EXTORSION,4
2023,La Huerta,EXTORSION,0
2024,La Huerta,EXTORSION,1
2025,La Huerta,EXTORSION,0
2015,La Manzanilla de la Paz,EXTORSION,1
2016,La Manzanilla de la Paz,EXTORSION,0
2017,La Manzanilla de la Paz,EXTORSION,0
2018,La Manzanilla de la Paz,EXTORSION,1
2019,La Manzanilla de la Paz,EXTORSION,0
2020,La Manzanilla de la Paz,EXTORSION,1
2021,La Manzanilla de la Paz,EXTORSION,0
2022,La Manzanilla de la Paz,EXTORSION,0
2023,La Manzanilla de la Paz,EXTORSION,0
2024,La Manzanilla de la Paz,EXTORSION,0
2025,La Manzanilla de la Paz,EXTORSION,0
2015,Lagos de Moreno,EXTORSION,15
2016,Lagos de Moreno,EXTORSION,13
2017,Lagos de Moreno,EXTORSION,17
2018,Lagos de Moreno,EXTORSION,7
2019,Lagos de Moreno,EXTORSION,18
2020,Lagos de Moreno,EXTORSION,12
2021,Lagos de Moreno,EXTORSION,15
2022,Lagos de Moreno,EXTORSION,5
2023,Lagos de Moreno,EXTORSION,9
2024,Lagos de Moreno,EXTORSION,36
2025,Lagos de Moreno,EXTORSION,21
2015,Magdalena,EXTORSION,1
2016,Magdalena,EXTORSION,1
2017,Magdalena,EXTORSION,2
2018,Magdalena,EXTORSION,0
2019,Magdalena,EXTORSION,2
2020,Magdalena,EXTORSION,3
2021,Magdalena,EXTORSION,2
2022,Magdalena,EXTORSION,0
2023,Magdalena,EXTORSION,1
2024,Magdalena,EXTORSION,2
2025,Magdalena,EXTORSION,5
2015,Mascota,EXTORSION,3
2016,Mascota,EXTORSION,0
2017,Mascota,EXTORSION,0
2018,Mascota,EXTORSION,1
2019,Mascota,EXTORSION,1
2020,Mascota,EXTORSION,2
2021,Mascota,EXTORSION,1
2022,Mascota,EXTORSION,1
2023,Mascota,EXTORSION,1
2024,Mascota,EXTORSION,1
2025,Mascota,EXTORSION,0
2015,Mazamitla,EXTORSION,2
2016,Mazamitla,EXTORSION,1
2017,Mazamitla,EXTORSION,2
2018,Mazamitla,EXTORSION,1
2019,Mazamitla,EXTORSION,4
2020,Mazamitla,EXTORSION,3
2021,Mazamitla,EXTORSION,2
2022,Mazamitla,EXTORSION,3
2023,Mazamitla,EXTORSION,10
2024,Mazamitla,EXTORSION,1
2025,Mazamitla,EXTORSION,1
2015,Mexticacán,EXTORSION,0
2016,Mexticacán,EXTORSION,0
2017,Mexticacán,EXTORSION,0
2018,Mexticacán,EXTORSION,0
2019,Mexticacán,EXTORSION,0
2020,Mexticacán,EXTORSION,0
2021,Mexticacán,EXTORSION,0
2022,Mexticacán,EXTORSION,0
2023,Mexticacán,EXTORSION,0
2024,Mexticacán,EXTORSION,0
2025,Mexticacán,EXTORSION,0
2015,Mezquitic,EXTORSION,0
2016,Mezquitic,EXTORSION,2
2017,Mezquitic,EXTORSION,1
2018,Mezquitic,EXTORSION,0
2019,Mezquitic,EXTORSION,2
2020,Mezquitic,EXTORSION,1
2021,Mezquitic,EXTORSION,0
2022,Mezquitic,EXTORSION,0
2023,Mezquitic,EXTORSION,0
2024,Mezquitic,EXTORSION,1
2025,Mezquitic,EXTORSION,0
2015,Mixtlán,EXTORSION,2
2016,Mixtlán,EXTORSION,0
2017,Mixtlán,EXTORSION,0
2018,Mixtlán,EXTORSION,0
2019,Mixtlán,EXTORSION,0
2020,Mixtlán,EXTORSION,0
2021,Mixtlán,EXTORSION,0
2022,Mixtlán,EXTORSION,0
2023,Mixtlán,EXTORSION,1
2024,Mixtlán,EXTORSION,0
2025,Mixtlán,EXTORSION,1
2015,Ocotlán,EXTORSION,5
2016,Ocotlán,EXTORSION,11
2017,Ocotlán,EXTORSION,6
2018,Ocotlán,EXTORSION,10
2019,Ocotlán,EXTORSION,21
2020,Ocotlán,EXTORSION,7
2021,Ocotlán,EXTORSION,7
2022,Ocotlán,EXTORSION,12
2023,Ocotlán,EXTORSION,7
2024,Ocotlán,EXTORSION,2
2025,Ocotlán,EXTORSION,7
2015,Ojuelos de Jalisco,EXTORSION,2
2016,Ojuelos de Jalisco,EXTORSION,0
2017,Ojuelos de Jalisco,EXTORSION,2
2018,Ojuelos de Jalisco,EXTORSION,2
2019,Ojuelos de Jalisco,EXTORSION,1
