Año,zona_geografica,Tipo de delito,Total_Anual
2020,AMG,Despojo,1090
2020,AMG,Narcomenudeo,758
2020,AMG,Otros delitos que atentan contra la libertad personal,734
2020,AMG,Otros delitos contra la familia,554
2020,AMG,Falsificación,500
2020,AMG,Extorsión,433
2020,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,283
2020,AMG,Violación simple,275
2020,AMG,Delitos cometidos por servidores públicos,209
2020,AMG,Acoso sexual,205
2020,AMG,Allanamiento de morada,134
2020,AMG,Corrupción de menores,84
2020,AMG,Falsedad,65
2020,AMG,Contra el medio ambiente,61
2020,AMG,Feminicidio,52
2020,AMG,Hostigamiento sexual,43
2020,AMG,Otros delitos contra la sociedad,12
2020,AMG,Secuestro,11
2020,AMG,Trata de personas,10
2020,AMG,Electorales,7
2020,AMG,Aborto,6
2020,AMG,Evasión de presos,2
2020,AMG,Tráfico de menores,1
2020,AMG,Incesto,0
2020,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2020,AMG,Otros delitos contra el patrimonio,0
2020,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2020,AMG,Rapto,0
2020,AMG,Violación equiparada,0
2020,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2020,Interior,Robo,7142
2020,Interior,Lesiones,3814
2020,Interior,Violencia familiar,3315
2020,Interior,Daño a la propiedad,3054
2020,Interior,Amenazas,2372
2020,Interior,Fraude,1595
2020,Interior,Otros delitos del Fuero Común,1375
2020,Interior,Falsificación,1166
2020,Interior,Homicidio,882
2020,Interior,Despojo,766
2020,Interior,Abuso sexual,721
2020,Interior,Otros delitos contra la familia,520
2020,Interior,Abuso de confianza,450
2020,Interior,Narcomenudeo,304
2020,Interior,Extorsión,294
2020,Interior,Otros delitos que atentan contra la libertad personal,239
2020,Interior,Delitos cometidos por servidores públicos,126
2020,Interior,Allanamiento de morada,120
2020,Interior,Violación simple,92
2020,Interior,Acoso sexual,57
2020,Interior,Falsedad,50
2020,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,48
2020,Interior,Corrupción de menores,44
2020,Interior,Feminicidio,18
2020,Interior,Hostigamiento sexual,16
2020,Interior,Contra el medio ambiente,11
2020,Interior,Aborto,6
2020,Interior,Trata de personas,5
2020,Interior,Secuestro,2
2020,Interior,Electorales,1
2020,Interior,Evasión de presos,0
2020,Interior,Incesto,0
2020,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2020,Interior,Otros delitos contra el patrimonio,0
2020,Interior,Otros delitos contra la sociedad,0
2020,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2020,Interior,Rapto,0
2020,Interior,Tráfico de menores,0
2020,Interior,Violación equiparada,0
2020,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2021,AMG,Robo,45041
2021,AMG,Otros delitos del Fuero Común,9684
2021,AMG,Violencia familiar,9093
2021,AMG,Amenazas,7653
2021,AMG,Lesiones,6451
2021,AMG,Fraude,6135
2021,AMG,Daño a la propiedad,3808
2021,AMG,Homicidio,1856
2021,AMG,Abuso sexual,1554
2021,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,1032
2021,AMG,Abuso de confianza,961
2021,AMG,Despojo,955
2021,AMG,Narcomenudeo,926
2021,AMG,Otros delitos que atentan contra la libertad personal,645
2021,AMG,Falsificación,515
2021,AMG,Otros delitos contra la familia,465
2021,AMG,Violación simple,392
2021,AMG,Extorsión,350
2021,AMG,Delitos cometidos por servidores públicos,313
2021,AMG,Acoso sexual,194
2021,AMG,Allanamiento de morada,134
2021,AMG,Corrupción de menores,93
2021,AMG,Falsedad,67
2021,AMG,Feminicidio,63
2021,AMG,Hostigamiento sexual,49
2021,AMG,Contra el medio ambiente,27
2021,AMG,Secuestro,13
2021,AMG,Trata de personas,10
2021,AMG,Aborto,6
2021,AMG,Evasión de presos,6
2021,AMG,Otros delitos contra la sociedad,4
2021,AMG,Electorales,1
2021,AMG,Tráfico de menores,1
2021,AMG,Incesto,0
2021,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2021,AMG,Otros delitos contra el patrimonio,0
2021,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2021,AMG,Rapto,0
2021,AMG,Violación equiparada,0
2021,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2021,Interior,Robo,7026
2021,Interior,Lesiones,4139
2021,Interior,Daño a la propiedad,3771
2021,Interior,Violencia familiar,3520
2021,Interior,Amenazas,2576
2021,Interior,Fraude,1849
2021,Interior,Otros delitos del Fuero Común,1312
2021,Interior,Falsificación,929
2021,Interior,Homicidio,878
2021,Interior,Abuso sexual,814
2021,Interior,Despojo,716
2021,Interior,Otros delitos contra la familia,461
2021,Interior,Abuso de confianza,456
2021,Interior,Extorsión,215
2021,Interior,Narcomenudeo,208
2021,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,178
2021,Interior,Otros delitos que atentan contra la libertad personal,162
2021,Interior,Allanamiento de morada,133
2021,Interior,Violación simple,121
2021,Interior,Delitos cometidos por servidores públicos,116
2021,Interior,Acoso sexual,82
2021,Interior,Falsedad,44
2021,Interior,Hostigamiento sexual,30
2021,Interior,Corrupción de menores,23
2021,Interior,Feminicidio,14
2021,Interior,Contra el medio ambiente,7
2021,Interior,Secuestro,6
2021,Interior,Aborto,5
2021,Interior,Electorales,5
2021,Interior,Trata de personas,3
2021,Interior,Otros delitos contra la sociedad,2
2021,Interior,Evasión de presos,0
2021,Interior,Incesto,0
2021,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2021,Interior,Otros delitos contra el patrimonio,0
2021,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2021,Interior,Rapto,0
2021,Interior,Tráfico de menores,0
2021,Interior,Violación equiparada,0
2021,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2022,AMG,Robo,39359
2022,AMG,Otros delitos del Fuero Común,12155
2022,AMG,Violencia familiar,10098
2022,AMG,Amenazas,7693
